,Train_Loss,Train_Acc,Val_Loss,Val_Acc,Val_P,Val_R,Val_F1
0,3.1330534478018763,0.18509337,3.1919732758230412,0.23107438016528925,0.29970508770232207,0.23206900026824442,0.21488676212318533
1,1.858786222521401,0.49217072,2.1412607847757577,0.4721487603305785,0.5767985125484909,0.4717038310137184,0.4714966062117495
2,1.1222466172373722,0.6907949,1.0858014160542449,0.7161157024793389,0.7509609318241542,0.7170479381320076,0.7171130526920708
3,0.7403202376135557,0.7928855,1.5083986990018325,0.6501652892561983,0.7451282167842708,0.6502006893240495,0.6403233589069803
4,0.5534776493924213,0.84578997,0.9443211329278867,0.7723140495867769,0.8024648064307941,0.771969279894575,0.7722864862789821
5,0.43057882630161126,0.8791522,0.9133104493401267,0.7708264462809917,0.8045574818200502,0.7716166602178655,0.7747154001549627
6,0.3367453271338731,0.9044166,0.8452959492285389,0.8090082644628099,0.8311815509707572,0.8092600451876075,0.8104016443539398
7,0.2921821931692573,0.9173484,0.7243868561224504,0.8412396694214876,0.8559406879269893,0.8413331892190502,0.8417424392266316
8,0.2463601470323579,0.9304867,0.811222146109116,0.8333884297520661,0.8615244832032053,0.8333291086516735,0.8372305081498423
9,0.2147824096223615,0.9388944,0.6846550658911713,0.8457851239669422,0.8589572266786664,0.8458887079862446,0.8473812282741837
10,0.19439821979214122,0.9450917,0.656729611276595,0.8709917355371901,0.8789702042439896,0.8710191745699907,0.870659204270884
11,0.16934997951505676,0.95124775,0.8134623130096877,0.8298347107438017,0.8498326499646451,0.8304765240580191,0.8284699211459341
12,0.16663898512277178,0.95205337,0.6993928757168291,0.8668595041322315,0.8785740183514521,0.8670894899099049,0.8665289093847978
13,0.14133927763220083,0.9588704,0.7777087397525503,0.8585123966942149,0.8728355670309804,0.8585220990794961,0.8591922727226068
14,0.13352596939073044,0.9611015,0.7910739563220789,0.84900826446281,0.8712646826426849,0.8491509616764806,0.8517451076300342
15,0.15371807532514586,0.9565774,0.8172278532662913,0.8521487603305785,0.8799971294817167,0.8517664795012587,0.8568731080932879
16,0.12330004461312802,0.96457195,0.6984840990295095,0.8695867768595041,0.879620726849404,0.8697556687819871,0.8694241827444373
17,0.10460508820035797,0.9693233,0.6671997189515632,0.8839669421487604,0.8942347352337001,0.8841824109906933,0.884645531144007
18,0.10986786933132212,0.9674227,0.5980853506947352,0.8843801652892562,0.8918480370103464,0.88466609388273,0.8853391857216918
19,0.10318963728701058,0.9692406,0.7151759548920152,0.8652066115702479,0.880452655844995,0.8653596746943011,0.8653568853255865
20,0.10754010429994623,0.9697571,0.8634983556329712,0.8579338842975207,0.8788464778513717,0.8579069605811992,0.8607892606420785
21,0.08294920254652016,0.97514874,0.70565769403434,0.8736363636363637,0.8856542860637359,0.8736295114093428,0.8746879424422732
22,0.09961365908630583,0.9704388,0.7979716584468184,0.8616528925619835,0.8749797268869689,0.8618980960348681,0.8621577416640847
23,0.09059069474222955,0.97295904,0.7416343685060985,0.8746280991735537,0.8886394991894364,0.8746226530638828,0.874447439912028
24,0.08492933838471088,0.97500414,0.574091613968788,0.8947107438016529,0.9036161980852186,0.894919035486553,0.8955959353272092
25,0.07755989267488804,0.9773798,0.6933683526971616,0.8852892561983471,0.8978504922018027,0.8855728276747152,0.8870145249314747
26,0.08482690415802406,0.97405386,0.6465534272026424,0.8855371900826446,0.8958805677337321,0.8857097966795779,0.8859920887432108
27,0.08273592082975355,0.97607833,0.7133779209704438,0.881404958677686,0.8908875292937557,0.881635693830688,0.8814951016602934
28,0.07641409388126923,0.9772145,0.5947455990314484,0.8965289256198347,0.9039575119970598,0.8966126526027539,0.8970070133149519
29,0.07582594126640244,0.9781028,0.7254538133173934,0.8582644628099173,0.8818446963675411,0.8584973881844368,0.8627806208354537
